year,quarter,level,entity,registered_users
2023,3,states,madhya pradesh,26109033
2023,3,states,gujarat,25383429
2023,3,districts,bengaluru urban,16382332
2023,3,districts,pune,10780092
2023,3,districts,thane,6802106
2023,3,districts,jaipur,6745507
2023,3,districts,mumbai suburban,6560867
2023,3,districts,hyderabad,5543537
2023,3,districts,ahmadabad,5105557
2023,3,districts,rangareddy,4809474
2023,3,districts,north twenty four parganas,4241525
2023,3,districts,surat,4238878
2023,3,pincodes,201301,916333
2023,3,pincodes,110059,772107
2023,3,pincodes,560068,703693
2023,3,pincodes,421302,688520
2023,3,pincodes,122001,609934
2023,3,pincodes,500072,609887
2023,3,pincodes,110092,598195
2023,3,pincodes,110086,540985
2023,3,pincodes,121004,529674
2023,3,pincodes,201009,509567
2023,4,states,maharashtra,65422120
2023,4,states,uttar pradesh,53799813
2023,4,states,karnataka,42031396
2023,4,states,andhra pradesh,32658698
2023,4,states,rajasthan,32157348
2023,4,states,west bengal,30064546
2023,4,states,telangana,29902636
2023,4,states,tamil nadu,29452801
2023,4,states,madhya pradesh,27078072
2023,4,states,gujarat,26312655
2023,4,districts,bengaluru urban,16895567
2023,4,districts,pune,11135186
2023,4,districts,thane,7044610
2023,4,districts,jaipur,6983265
2023,4,districts,mumbai suburban,6796218
2023,4,districts,hyderabad,5720710
2023,4,districts,ahmadabad,5282400
2023,4,districts,rangareddy,4964411
2023,4,districts,north twenty four parganas,4396190
2023,4,districts,surat,4396038
2023,4,pincodes,201301,948041
2023,4,pincodes,110059,798856
2023,4,pincodes,560068,727330
2023,4,pincodes,421302,714635
2023,4,pincodes,122001,630836
2023,4,pincodes,500072,628306
2023,4,pincodes,110092,617934
2023,4,pincodes,110086,561319
2023,4,pincodes,121004,549020
2023,4,pincodes,201009,527630
2024,1,states,maharashtra,68016876
2024,1,states,uttar pradesh,56028765
2024,1,states,karnataka,43668141
2024,1,states,andhra pradesh,34008709
2024,1,states,rajasthan,33505514
2024,1,states,west bengal,31306843
2024,1,states,telangana,31082447
2024,1,states,tamil nadu,30638750
2024,1,states,madhya pradesh,28238554
2024,1,states,gujarat,27381972
2024,1,districts,bengaluru urban,17506580
2024,1,districts,pune,11546171
2024,1,districts,thane,7314981
2024,1,districts,jaipur,7253881
2024,1,districts,mumbai suburban,7055629
2024,1,districts,hyderabad,5928930
2024,1,districts,ahmadabad,5485010
2024,1,districts,rangareddy,5149421
2024,1,districts,north twenty four parganas,4570438
2024,1,districts,surat,4569769
2024,1,pincodes,201301,984239
2024,1,pincodes,110059,829414
2024,1,pincodes,560068,753700
2024,1,pincodes,421302,743686
2024,1,pincodes,122001,654633
2024,1,pincodes,500072,650991
2024,1,pincodes,110092,640499
2024,1,pincodes,110086,583639
2024,1,pincodes,121004,570844
2024,1,pincodes,201009,548384
2024,2,states,maharashtra,70597223
2024,2,states,uttar pradesh,58199149
2024,2,states,karnataka,45290606
2024,2,states,andhra pradesh,35303719
2024,2,states,rajasthan,34773619
2024,2,states,west bengal,32540397
2024,2,states,telangana,32232171
2024,2,states,tamil nadu,31818880
2024,2,states,madhya pradesh,29324466
2024,2,states,gujarat,28439885
2024,2,districts,bengaluru urban,18127475
2024,2,districts,pune,11964579
2024,2,districts,thane,7591749
2024,2,districts,jaipur,7522194
2024,2,districts,mumbai suburban,7325715
2024,2,districts,hyderabad,6138190
2024,2,districts,ahmadabad,5693015
2024,2,districts,rangareddy,5331711
2024,2,districts,surat,4747919
2024,2,districts,north twenty four parganas,4746814
2024,2,pincodes,201301,1021560
2024,2,pincodes,110059,860657
2024,2,pincodes,560068,780422
2024,2,pincodes,421302,772632
2024,2,pincodes,122001,679107
2024,2,pincodes,500072,673094
2024,2,pincodes,110092,664004
2024,2,pincodes,110086,606637
2024,2,pincodes,121004,593014
2024,2,pincodes,201009,569781
2024,3,states,maharashtra,69641161
2024,3,states,uttar pradesh,67922000
2024,3,states,karnataka,44548391
2024,3,states,rajasthan,35583171
2024,3,states,west bengal,33612828
2024,3,states,tamil nadu,32965209
2024,3,states,bihar,31899315
2024,3,states,madhya pradesh,31764084
2024,3,states,telangana,30776242
2024,3,states,andhra pradesh,29145303
2024,3,districts,bengaluru urban,17566351
2024,3,districts,pune,12392676
2024,3,districts,thane,7103828
2024,3,districts,mumbai suburban,6688601
2024,3,districts,rangareddy,5769438
2024,3,districts,hyderabad,5757304
2024,3,districts,ahmedabad,5580316
2024,3,districts,chennai,5387490
2024,3,districts,jaipur,5219354
2024,3,districts,surat,4957655
2024,3,pincodes,201301,899384
2024,3,pincodes,421302,844375
2024,3,pincodes,110059,808649
2024,3,pincodes,500072,733364
2024,3,pincodes,452001,686231
2024,3,pincodes,410501,663831
2024,3,pincodes,121004,646607
2024,3,pincodes,201009,646266
2024,3,pincodes,560068,645173
2024,3,pincodes,110092,639422
2024,4,states,maharashtra,71807805
2024,4,states,uttar pradesh,70474113
2024,4,states,karnataka,45917653
2024,4,states,rajasthan,36828375
2024,4,states,west bengal,34750181
2024,4,states,tamil nadu,33966610
2024,4,states,bihar,33345285
